# {"t_start": 1678597901.8115485, "env_id": "CarRacing-v0"} 
r,l,t
556.462585,1000,14.566178
916.6,834,25.838557
914.2,858,37.228665
807.643312,1000,50.668418
405.747126,1000,64.715044
358.745875,1000,78.759524
739.228296,1000,92.467023
791.089109,1000,105.931062
644.615385,1000,119.751119
765.625,1000,133.578884
839.929329,1000,146.961423
510.169492,1000,161.052363
883.108108,1000,174.825215
485.844981,834,186.297148
885.294118,1000,199.245819
916.1,839,210.671918
869.798658,1000,224.133707
241.196396,553,231.805371
886.254296,1000,245.1887
791.472868,1000,258.380943
869.899666,1000,271.902302
679.179811,1000,285.481348
650.88968,1000,298.916936
433.783784,1000,312.350453
-17.872222,395,317.627581
272.093023,1000,331.193665
